ultimate_parent_rcid,firm_name,ever_genai,first_genai_date,total_postings,total_genai_integrator_posts,first_post_date,last_post_date,share_genai_integrator_posts,active_days
13568,Servi Smart Solutions Ltd.,0,,1,0,2024-09-18,2024-09-18,0.0,0
13604,Lights & Shadows Pte Ltd.,0,,6,0,2021-04-10,2023-08-21,0.0,863
13617,"Orpine, Inc.",0,,1,0,2022-03-11,2022-03-11,0.0,0
13667,Act.³ GmbH /DE/,0,,1,0,2023-02-09,2023-02-09,0.0,0
13704,"Infoblox, Inc.",0,,29,0,2021-03-03,2024-11-27,0.0,1365
13717,Malifax Technologies (S) Pte Ltd.,0,,5,0,2022-06-29,2023-12-27,0.0,546
13721,Karana FGH,0,,6,0,2022-07-12,2023-11-18,0.0,494
13778,"Scoop Robotix, Inc.",0,,1,0,2023-04-06,2023-04-06,0.0,0
13820,Ethixbase 360 Pte Ltd.,0,,5,0,2022-08-22,2024-06-12,0.0,660
14005,Emhart Glass SA,0,,2,0,2021-05-10,2024-05-07,0.0,1093
14629,Make-A-Wish Foundation of America,0,,7,0,2021-12-06,2024-08-08,0.0,976
14918,"Daniel J. Edelman Holdings, Inc.",1,2023-08-29,174,1,2021-03-01,2024-12-30,0.005747126436781609,1400
15106,Vanguard Healthcare Pte Ltd.,0,,307,0,2021-03-03,2024-12-30,0.0,1398
15114,J.B. Boda & Co. Pvt Ltd.,0,,34,0,2021-10-09,2024-12-30,0.0,1178
15431,Squirro AG,1,2023-05-30,14,9,2021-08-23,2024-12-30,0.6428571428571429,1225
15451,Mediaone Business Group Pte Ltd.,1,2024-09-21,86,2,2021-09-10,2024-12-20,0.023255813953488372,1197
15525,Kamet Capital Partners Pte Ltd.,0,,48,0,2021-11-18,2024-11-22,0.0,1100
15655,Rocktree Logistics Pte Ltd.,0,,2,0,2022-03-24,2022-11-29,0.0,250
15787,PERI GmbH,1,2022-01-26,34,1,2021-03-10,2024-12-04,0.029411764705882353,1365
15886,HRM Asia Pte Ltd.,0,,5,0,2022-01-14,2023-09-04,0.0,598
16243,Mambu GmbH,0,,44,0,2021-11-10,2022-11-22,0.0,377
16302,William Angliss Institute,1,2021-07-22,10,1,2021-07-04,2023-02-22,0.1,598
16397,Sebrina Holdings Ltd.,0,,2,0,2023-12-15,2023-12-22,0.0,7
16442,"Serve Robotics, Inc.",0,,2,0,2024-11-19,2024-11-19,0.0,0
16541,Jebsen & Jessen (SEA) Pte Ltd.,1,2022-11-07,45,3,2021-09-15,2024-12-17,0.06666666666666667,1189
16556,Plato Medical Pte Ltd.,0,,18,0,2021-03-25,2023-05-18,0.0,784
16648,ALSA Grupo SL,0,,11,0,2021-10-12,2024-01-25,0.0,835
17015,Technomate Ltd.,0,,6,0,2024-06-27,2024-10-07,0.0,102
17098,Food from the Heart,0,,19,0,2022-11-18,2024-09-18,0.0,670
17342,The Loco Group Pte Ltd.,0,,5,0,2021-10-07,2023-02-06,0.0,487
17406,Legal Labs,0,,160,0,2021-03-08,2024-04-05,0.0,1124
17864,Gourmet Ads Pty Ltd.,0,,1,0,2022-10-20,2022-10-20,0.0,0
17865,Jewel Coffee Pte Ltd.,0,,20,0,2022-03-15,2024-11-15,0.0,976
18380,"Stellar Industries, Inc.",0,,6,0,2024-04-23,2024-10-22,0.0,182
18558,Flash Tekk Engineering Pte Ltd.,0,,8,0,2021-09-02,2024-11-08,0.0,1163
18800,Tropical Texas Behavioral Health,0,,1,0,2022-07-17,2022-07-17,0.0,0
18918,EPPL,0,,28,0,2021-03-31,2024-09-26,0.0,1275
18922,Grohe AG,0,,2,0,2024-06-26,2024-07-20,0.0,24
18931,Ampverse Holdings Pte. Ltd.,0,,2,0,2021-11-19,2022-08-03,0.0,257
19065,Acclaim Insurance Brokers Pte Ltd.,0,,88,0,2021-03-16,2024-12-20,0.0,1375
19070,AMOREPACIFIC Singapore Pte Ltd.,1,2023-10-04,65,1,2021-07-01,2024-12-17,0.015384615384615385,1265
19428,Fresh'N Natural Foods Pvt Ltd,0,,20,0,2022-03-29,2024-04-11,0.0,744
19473,New Toyo International Holdings Ltd.,0,,3,0,2021-07-30,2024-06-07,0.0,1043
19541,Seguros RGA,0,,49,0,2021-03-25,2024-08-30,0.0,1254
19563,Homegenie,1,2021-11-30,3,2,2021-11-30,2024-07-29,0.6666666666666666,972
19569,Helukabel Singapore Pte Ltd,0,,3,0,2022-03-22,2023-09-11,0.0,538
19733,Jowa AG,0,,1,0,2024-12-26,2024-12-26,0.0,0
